date,Temperature,Rain,Wd,Ws,Pres,RH,dew point Max,dew point Avg,dew point Min,Classes
2023-06-01,22.3,0.2,158,9.2,1013.7,79.6,17,15.5,11,0
2023-06-02,23.4,0,157,9.1,1012.4,81.2,18,15.9,14,0
2023-06-03,20.8,0,237,8.7,1014.3,83.4,17,15.9,14,0
2023-06-04,24,9.6,270,8.7,1013.4,79.8,18,16.6,15,0
2023-06-05,24.3,0,97,9.1,1014.4,80,19,16.4,9,0
2023-06-06,23.7,0,98,9.3,1015,80.4,19,17.5,16,0
2023-06-07,27.7,3.2,143,7.9,1013,82.2,21,18.4,16,0
2023-06-08,26,0.3,116,9.2,1010.2,85.5,22,20.8,19,0
2023-06-09,26,2.2,83,9.8,1011.7,79.4,21,19.7,18,0
2023-06-10,26,0,137,8,1013.4,72.8,23,17.2,14,0
2023-06-11,25,0,173,11.3,1014.3,75,20,16.7,13,0
2023-06-12,26,2,186,11.2,1013.1,78.4,21,18.4,16,0
2023-06-13,25,5.1,156,17.2,1009.2,71,20,18,16,0
2023-06-14,27,1.7,248,10.9,1011.4,72.8,19,17.2,13,0
2023-06-15,27,0.9,173,7.8,1017.4,72.1,19,16.8,15,0
2023-06-16,26,0,172,11.8,1017.5,69.1,19,16.3,14,0
2023-06-17,27,0,196,9.2,1014.7,66,19,15.3,14,0
2023-06-18,29,0,151,11.6,1010.6,65.1,22,18,13,0
2023-06-19,39,0,221,14.8,1009.3,34.8,20,14,6,0
2023-06-20,34,0,122,12.6,1011,76,22,19.6,6,0
2023-06-21,29.3,0,127,12.2,1011.2,84.4,23,21.3,13,0
2023-06-22,27,0,102,13.8,1017.4,85.2,23,21.9,18,0
2023-06-23,26,0,79,8.2,1020.5,86,23,22,19,0
2023-06-24,27.6,0,127,7.7,1018.2,75.1,22,18.9,15,0
2023-06-25,27,0,117,9.5,1017.2,73.6,21,18.5,16,0
2023-06-26,27,0,159,9.3,1018.3,76.8,21,18.5,17,0
